date,Pettah,Dambulla,year,month,day,day_of_week
2021-10-11,125.0,78.0,2021,10,11,0
2021-10-12,125.0,78.0,2021,10,12,1
2021-10-13,130.0,78.0,2021,10,13,2
2021-10-14,130.0,115.0,2021,10,14,3
2021-10-15,125.0,85.0,2021,10,15,4
2021-10-16,125.0,85.0,2021,10,16,5
2021-10-17,125.0,85.0,2021,10,17,6
2021-10-18,110.0,85.0,2021,10,18,0
2021-10-19,110.0,85.0,2021,10,19,1
2021-10-20,110.0,85.0,2021,10,20,2
2021-10-21,110.0,85.0,2021,10,21,3
2021-10-22,110.0,85.0,2021,10,22,4
2021-10-23,110.0,85.0,2021,10,23,5
2021-10-24,110.0,85.0,2021,10,24,6
2021-10-25,110.0,85.0,2021,10,25,0
2021-10-26,110.0,85.0,2021,10,26,1
2021-10-27,110.0,85.0,2021,10,27,2
2021-10-28,110.0,85.0,2021,10,28,3
2021-10-29,110.0,85.0,2021,10,29,4
2021-10-30,110.0,85.0,2021,10,30,5
2021-10-31,110.0,85.0,2021,10,31,6
2021-11-01,110.0,85.0,2021,11,1,0
2021-11-02,110.0,85.0,2021,11,2,1
2021-11-03,110.0,85.0,2021,11,3,2
2021-11-04,110.0,85.0,2021,11,4,3
2021-11-05,110.0,85.0,2021,11,5,4
2021-11-06,110.0,85.0,2021,11,6,5
2021-11-07,110.0,85.0,2021,11,7,6
2021-11-08,110.0,85.0,2021,11,8,0
2021-11-09,110.0,85.0,2021,11,9,1
2021-11-10,240.0,165.0,2021,11,10,2
2021-11-11,265.0,195.0,2021,11,11,3
2021-11-12,265.0,195.0,2021,11,12,4
2021-11-13,265.0,195.0,2021,11,13,5
2021-11-14,265.0,195.0,2021,11,14,6
2021-11-15,250.0,245.0,2021,11,15,0
2021-11-16,250.0,225.0,2021,11,16,1
2021-11-17,250.0,225.0,2021,11,17,2
2021-11-18,250.0,225.0,2021,11,18,3
2021-11-19,250.0,225.0,2021,11,19,4
2021-11-20,250.0,225.0,2021,11,20,5
2021-11-21,250.0,225.0,2021,11,21,6
2021-11-22,350.0,395.0,2021,11,22,0
2021-11-23,350.0,395.0,2021,11,23,1
2021-11-24,310.0,245.0,2021,11,24,2
2021-11-25,315.0,220.0,2021,11,25,3
2021-11-26,315.0,220.0,2021,11,26,4
2021-11-27,315.0,220.0,2021,11,27,5
2021-11-28,315.0,220.0,2021,11,28,6
2021-11-29,300.0,200.0,2021,11,29,0
2021-11-30,300.0,200.0,2021,11,30,1
2021-12-01,300.0,200.0,2021,12,1,2
2021-12-02,300.0,200.0,2021,12,2,3
2021-12-03,300.0,200.0,2021,12,3,4
2021-12-04,300.0,200.0,2021,12,4,5
2021-12-05,300.0,200.0,2021,12,5,6
2021-12-06,300.0,200.0,2021,12,6,0
2021-12-07,300.0,200.0,2021,12,7,1
2021-12-08,300.0,200.0,2021,12,8,2
2021-12-09,300.0,200.0,2021,12,9,3
2021-12-10,310.0,275.0,2021,12,10,4
2021-12-11,310.0,275.0,2021,12,11,5
2021-12-12,310.0,275.0,2021,12,12,6
2021-12-13,310.0,275.0,2021,12,13,0
2021-12-14,470.0,365.0,2021,12,14,1
